Id,UID,Type,IdPlan,TurnOn,Hacked,Traffic
134721,caf301e7-afd4-49cd-81cc-f0f91d529727,P,5,true,true,6213634923
544015,fa164a86-58d8-475a-b2d7-42314c54b1b7,P,2,true,true,830548780
379886,329b578d-78e5-4162-8312-8d3ea45bfdaa,P,11,true,true,12966665290
431832,b8239958-94f5-46d4-9584-138001f947fe,P,11,true,true,16130120391
392262,b8f5a3f5-fef1-4114-9458-adc712f72d14,P,4,true,true,793268203
725683,34a18f8a-55f7-4b00-8927-88fd7a8eb166,P,2,true,true,118767608
94188,6d436f4b-1315-471a-b1c4-1439ea97049a,P,6,true,true,642643886
806278,333105a9-8567-4a00-8af7-bba668eb1bbe,P,0,true,true,4016481274
102920,07b82733-f0f5-4d54-ae4a-d837e6b2201d,P,3,true,true,1260411172
332897,3282e6b3-17e7-45ed-a7f4-3c0e7fdbbd52,P,7,true,true,3412150205
291955,e7142c21-bb92-42dc-92b1-e52bd7af2c1e,P,1,true,true,480745570
335994,02fdff8d-5dab-43a8-b0fa-6ad8e4d2cba2,P,5,true,true,2199582536
702874,51849d05-149b-4637-abb3-7228e0fd3069,P,3,true,true,1980798188
388734,b90c5b42-4584-4a99-8b6e-5c950bca816a,P,12,true,true,1058012963
470534,c2e69015-36ab-4b0e-bb10-021c533f9604,P,4,true,true,2363687986
476459,d991ec42-d4f5-43bb-9a49-ced3a9c5a28a,P,11,true,true,21684145116
435527,cced12fa-5be8-4cd1-a5e9-05b4b1979a8b,P,2,true,true,423892080
585967,ebd9cb76-8a10-4173-9270-e4dda5bb1be0,P,0,true,true,538863707
703016,0a0df5ce-66cc-4c74-881c-0c3e9a871621,P,4,true,true,702693092
209789,d67cda00-fff8-4b63-b0b9-d5e4b5480a30,P,12,true,true,9044835890
47737,07d88d9a-b792-465f-927f-0d3b83d583bc,P,12,true,true,2479311451
111593,cea23877-caf2-48ba-81be-9cb902ba9279,P,4,true,true,3138252531
941742,0809457a-e02b-449f-a520-d8bef8f18c1f,P,6,true,true,1186165499
427255,b68f21e0-a89f-4185-9ff5-4cc668112421,P,3,true,true,1265750170
365564,e1075fcd-e8d9-49cf-8392-cc2dad0df32c,P,2,true,true,2473125336
871981,4a6cfd5d-6978-4e16-b0d6-2ddf2436326b,P,11,true,true,9080306871
53328,ab404573-79db-4654-916b-eba4036c335c,P,4,true,true,2632477945
464245,9801ddbc-2551-4179-82df-29dd7de9281d,P,2,true,true,1875566182
347869,5d048efa-d025-4fff-a151-59e56949bd28,P,3,true,true,2175217551
540830,7c9ff987-1dc1-46bc-aee8-a273c72d21a8,P,12,true,true,19875239743
403970,4d978198-c4e8-4c9f-bc14-38e50982859b,P,4,true,true,5660396504
569019,006bda05-3878-44cf-aef8-af08f8820e2e,P,10,true,true,5501924423
22094,bd924d93-e254-41ac-b6d1-1346fa48a504,P,0,true,true,1009973936
485429,c0964c84-1612-4383-b147-181e68e0d867,P,5,true,true,3069081316
464245,9801ddbc-2551-4179-82df-29dd7de9281d,P,2,true,true,315445482
678081,be34b84f-d9fd-4181-8478-bfd3bdb47cb6,P,1,true,true,4216175090
592294,fdd43012-085c-4663-b961-34040e1e371e,P,6,true,true,1733247153
854209,cd550666-18c3-4463-b49f-1483a8ed4326,P,3,true,true,485513746
40631,374c99fe-e1bb-47c8-8485-aa3cf37014f1,P,3,true,true,468437794
684944,79ad861b-6956-4db9-a9fe-680ecf137bba,P,6,true,true,108877710
642305,5df680ae-f2b2-434d-bd79-5b9df40ecb20,P,4,true,true,1563114092
807845,cad75683-e1a7-41c9-a062-3f7fba5e0741,P,1,true,true,637792075
815776,47b8ae3d-a65d-48a6-8b67-126db93ec95c,P,2,true,true,1887809899
869504,a75f27c2-73d8-4660-a669-d1759a6997d0,P,2,true,true,3641265655
53328,ab404573-79db-4654-916b-eba4036c335c,P,4,true,true,2653965300
690404,f91f28f4-1841-4578-9ae6-9b1961a453cd,P,4,true,true,830125198
158760,99126ca6-7bda-4221-9996-302669ef5e4e,P,0,true,true,3211455493
339412,2798a3f2-0f07-4206-95f6-30048fbd5708,P,12,true,true,14545841801
507145,2c84c66a-5093-4bb5-b169-8c81863de267,P,11,true,true,10140749559
761427,21d7c99a-a758-4feb-8155-44732c00ef13,P,5,true,true,2288754070
453626,5c4ff09d-f431-42c3-b766-3738477db133,P,4,true,true,3208276403
416343,cab76fbd-2bfc-4000-b5cd-6923ae973d0b,P,12,true,true,27735049088
224941,bd604757-78fe-4946-ae57-f8bd5fddadd9,P,4,true,true,2008873614
250547,d74118a3-7e4f-4690-96d5-5c377aff0703,P,3,true,true,677411595
20998,b2077576-a878-45a2-97ac-6e4d100feb90,P,3,true,true,46515977
45070,393a2d3c-bb22-4234-9768-50fc9c02544b,P,6,true,true,494891395
617521,b8c9b3c9-f44e-4feb-b808-95adcaaaaf89,P,0,true,true,302551606
227966,13bbf660-54aa-4f81-baec-05f198c216ec,P,3,true,true,1712951146
320500,675bc740-dd3d-453d-8fb6-32cee5e3a3ca,P,7,true,true,699743012
183878,51ecd516-3916-4542-a78b-1db21280f6a7,P,0,true,true,1934477501
443371,62450ced-7405-4182-ad1d-2c4e12d55a7b,P,0,true,true,764961759
866201,c9b8d2fc-4c65-4284-ac61-846e45c662ca,P,6,true,true,2121873979
372179,6c504063-ff80-474e-8d30-f2ab1bba75d4,P,7,true,true,651142864
284162,2610aa46-d870-492d-9bdc-68538aa8b6cc,P,1,true,true,1315231326
501515,7d47c6f5-995a-47cd-84ef-cc213bb39f22,P,6,true,true,2004285057
271064,cfddc72f-db08-480e-b68f-fd7e8c97dcef,P,2,true,true,2195968793
47737,07d88d9a-b792-465f-927f-0d3b83d583bc,P,12,true,true,19169462211
321005,8df4b17c-9e2b-4546-8b6b-4dad38f3de89,P,4,true,true,5710463288
451777,e002844d-1e5e-4ed5-98ee-32a6d5726747,P,12,true,true,6501970895
622105,acde801f-e84e-4ba2-ba65-16dea69ce175,P,0,true,true,1337391484
706511,b437f784-7ec3-4f4b-9d6d-84963ce81c08,P,7,true,true,393606442
395889,d546cd05-db9b-4ce8-aa2a-59b33678d40d,P,7,true,true,2136143144
346406,05666aa1-7aa1-46ab-8412-f27f5cae22f1,P,1,true,true,551364681
939613,51a11eee-3473-429b-be14-d1f91d40e5bc,P,3,true,true,2766274091
280229,9a3a38cb-4d7e-4df1-a23f-1f4da39132ab,P,0,true,true,192325859
890796,9cfa5395-0009-43f9-bd17-55216a368534,P,1,true,true,498209018
452099,590cae09-abfd-434e-9bf9-49d0d2d46f88,P,6,true,true,2850114734
494794,1736c70e-a362-45ec-a843-f220353803a0,P,4,true,true,1059249833
654302,ef665b2d-079d-4f0a-9ea9-5d29d6fde763,P,3,true,true,1729385985
13809,8e561759-40dd-4509-8b27-8508f099b538,P,7,true,true,769116740
762845,41eee91a-4cc4-4658-96cb-4d73151fa11f,P,1,true,true,133025472
801487,60d07de8-23f2-47b0-b90a-ad01d563bfc0,P,2,true,true,1161009907
703502,29740b90-a627-4e32-845d-178736e8ff0f,P,1,true,true,885800287
332897,3282e6b3-17e7-45ed-a7f4-3c0e7fdbbd52,P,7,true,true,455807972
300210,e36a0bcd-8004-455f-b38d-6f4424c93898,P,4,true,true,211012182
615336,999ddce1-b336-43f3-8a5e-d017e42f2005,P,2,true,true,362368920
592294,fdd43012-085c-4663-b961-34040e1e371e,P,6,true,true,2325760806
321852,f69b5981-e782-42a1-b087-f980711434cb,P,0,true,true,1254836847
925325,f61ac0b7-24ba-4e76-8426-96be365d7032,P,3,true,true,616354415
783713,cb6bc4a7-5fb8-4dd6-b360-b4489f489e60,P,4,true,true,5107714422
823833,efaf93bb-930e-40f1-9001-5b1bdfab9bfc,P,0,true,true,588308136
960731,61fd39be-92d7-40f6-a4c4-a867a53ea122,P,2,true,true,1847516212
271954,4bbd4245-056d-43ab-9a31-0e9a2821f19c,P,5,true,true,157082432
770240,2ea0d10c-bd50-4504-ab56-2fe0aa02d75e,P,5,true,true,4709765257
502294,4e69e1d2-9062-4618-a343-396f20ab42a1,P,1,true,true,2836238678
860132,3e5dd604-37e9-4385-86f3-f1bf8c3f456e,P,6,true,true,2125221496
253084,3985e4f1-c0f7-40b7-8058-eb4599d9ae21,P,1,true,true,1705074762
448169,b936e1e6-388e-4b70-97f1-38024434e12f,P,12,true,true,12519250006
44458,e762556d-f474-4a7a-b4ce-91c88e458081,P,5,true,true,1286980589
725683,34a18f8a-55f7-4b00-8927-88fd7a8eb166,P,2,true,true,986760367
585967,ebd9cb76-8a10-4173-9270-e4dda5bb1be0,P,0,true,true,21608147
854209,cd550666-18c3-4463-b49f-1483a8ed4326,P,3,true,true,119007846
569019,006bda05-3878-44cf-aef8-af08f8820e2e,P,10,true,true,7110504452
150304,d02e6b7f-d86b-44f4-b21d-46cc461da20f,P,4,true,true,4239221582
466918,fd398a4f-2e5c-433b-a70e-5b89354a080e,P,4,true,true,471127425
443371,62450ced-7405-4182-ad1d-2c4e12d55a7b,P,0,true,true,915374295
245466,403a424c-18d3-44d0-a1ed-30999c89605b,P,0,true,true,1775746556
538445,c7a2520a-52be-453f-b33d-8186a95e1c56,P,0,true,true,316430694
321005,8df4b17c-9e2b-4546-8b6b-4dad38f3de89,P,4,true,true,3678631435
291385,277a6143-e6cb-4b03-85e8-06e1995dcb41,P,10,true,true,4687577380
894978,47c3edb3-e262-4d04-a001-aa4ee4b179ad,P,7,true,true,1720473199
329449,fd6dc7b1-1717-4772-867b-b0700b730599,P,10,true,true,6866803813
363544,c77cddb3-0137-4d67-87b6-8c5b7b7b6c5f,P,0,true,true,4234672062
642305,5df680ae-f2b2-434d-bd79-5b9df40ecb20,P,4,true,true,810979601
372130,1311682c-da56-4c1f-a941-fefa172819c8,P,5,true,true,3002051464
745587,b03e125f-cb62-4e7a-aa4a-0908a5bb245f,P,6,true,true,964940353
24901,0f15fc56-e13c-4b7e-820c-ced022281c9c,P,7,true,true,1452928975
956369,382f1873-6f82-44db-99c8-5b7e2468365c,P,5,true,true,3304757877
432327,6cda1465-9798-4130-95b1-123f1b65c408,P,2,true,true,5383152542
918434,241fbf62-1fa6-426e-8283-59e426837600,P,5,true,true,920751425
444194,bad8cd47-7d33-4fed-a61c-da947e1f7012,P,5,true,true,978982309
810579,54de1692-a05e-482a-9e7d-9351eb7bee38,P,1,true,true,638103199
567084,d411f85f-b779-49c0-a85c-606ea2334262,P,10,true,true,27841928637
577986,b11e5aee-8bf7-42a0-8235-443295eb6499,P,3,true,true,2938675761
299206,89c24428-a6b1-411c-ad58-d44c1fa5f0de,P,6,true,true,2251321735
453626,5c4ff09d-f431-42c3-b766-3738477db133,P,4,true,true,4992304176
540830,7c9ff987-1dc1-46bc-aee8-a273c72d21a8,P,12,true,true,36125677368
764995,b68c7ead-e5a6-4938-abef-0d8c5247c7c4,P,4,true,true,152958598
86197,555605a5-5a26-4e9b-804a-4764fde765a3,P,6,true,true,2893655817
583463,4b715fb5-6458-42d2-94c0-1d65134f1f11,P,11,true,true,5213074004
506814,071732f3-bf65-44cf-b581-d2c06c7f764f,P,5,true,true,2076344537
379886,329b578d-78e5-4162-8312-8d3ea45bfdaa,P,11,true,true,6296256385
20086,f85abac1-5fa8-4b98-b004-aa437333b79d,P,7,true,true,1961179667
858500,573f6450-b63a-4c4a-9890-05974e9fe571,P,10,true,true,7873875438
703502,29740b90-a627-4e32-845d-178736e8ff0f,P,1,true,true,927609930
851902,33d7a459-b0a7-4ca1-b828-2c65e0a49d70,P,5,true,true,4868535954
245466,403a424c-18d3-44d0-a1ed-30999c89605b,P,0,true,true,327429927
395968,78f1fd38-b012-46a3-a9e5-cb45796abcf2,P,4,true,true,864108213
928560,59d273e0-309a-40d1-9b57-d040c3b1da1a,P,1,true,true,2008757570
667946,b56514fa-b430-47b4-8472-6d7d5d4d7a1e,P,6,true,true,1316977331
413691,7425c44a-088f-4778-a331-5906a30d2d7d,P,1,true,true,177133228
910663,25815ab5-cd26-4fbc-91d6-89c1bdc3fbc0,P,1,true,true,3093132419
870749,756dde41-e85a-4b9b-86ec-3b0e858b830e,P,7,true,true,561625986
654302,ef665b2d-079d-4f0a-9ea9-5d29d6fde763,P,3,true,true,324279090
379886,329b578d-78e5-4162-8312-8d3ea45bfdaa,P,11,true,true,2381215842
383254,5bfbe462-2470-4690-a151-6dec6076732b,P,6,true,true,2289944269
615811,eea05097-9c4e-4fb0-9fb4-2de9e4a166be,P,7,true,true,624041406
328238,fd25ce11-904a-4850-9ba9-14bd4aec6630,P,4,true,true,417618018
982172,0ed85831-0910-48f3-843c-2f81ecf1631f,P,0,true,true,505708161
690404,f91f28f4-1841-4578-9ae6-9b1961a453cd,P,4,true,true,1058102963
669310,a25d90a1-33fd-43e3-a133-b2ac94641f06,P,3,true,true,831632704
760366,cb2c6b89-cec0-4e12-af40-e496e44e1b27,P,6,true,true,538836711
782580,49ea5c37-c2c0-4f34-8ab8-b4cda314b42f,P,10,true,true,23326721095
520357,b1a8bcbc-1ed6-4316-8275-e208e42e3ad4,P,3,true,true,1504469211
703016,0a0df5ce-66cc-4c74-881c-0c3e9a871621,P,4,true,true,1301499238
123837,973cdbf1-311c-41bb-a269-d08b492d3afb,P,5,true,true,266765314
567084,d411f85f-b779-49c0-a85c-606ea2334262,P,10,true,true,18398297293
435527,cced12fa-5be8-4cd1-a5e9-05b4b1979a8b,P,2,true,true,1537604367
395968,78f1fd38-b012-46a3-a9e5-cb45796abcf2,P,4,true,true,353568456
814657,9c1f39a2-fe3f-4577-a279-e5d8df77ab07,P,3,true,true,722695327
908818,f82c48bd-dc81-42d9-996c-fe80a258b6ef,P,3,true,true,362990662
732967,040eafb0-b05d-4bc2-822b-8192c6af1b24,P,11,true,true,14765327054
952661,4a7bb542-d346-4f3b-9a6e-96434ed76247,P,4,true,true,366300303
788886,1e25d5a7-5a42-434a-8922-95ab5bdb3456,P,3,true,true,1063441230
435671,daddf070-d5f2-4c67-a09a-9d776c96d638,P,4,true,true,372293636
314058,1b478936-a17c-4cfb-809b-05b640c9b024,P,2,true,true,1201796088
476459,d991ec42-d4f5-43bb-9a49-ced3a9c5a28a,P,11,true,true,33264064388
654302,ef665b2d-079d-4f0a-9ea9-5d29d6fde763,P,3,true,true,707951634
209111,5c390568-60f8-4682-80fa-77d66160c72b,P,0,true,true,369099606
684944,79ad861b-6956-4db9-a9fe-680ecf137bba,P,6,true,true,464314580
466885,2df43989-0ed7-4d6e-be04-9dd8ea0a224f,P,6,true,true,1675502723
671027,134b3a7b-2995-4275-8b12-2cae0ddb137c,P,1,true,true,233568416
605593,3d0135f1-b876-4ccc-8237-3401767a9304,P,0,true,true,774578196
134721,caf301e7-afd4-49cd-81cc-f0f91d529727,P,5,true,true,1900701216
152848,b54aec37-62ee-436a-8838-140ed42c57b4,P,2,true,true,968682920
